SAMPLE_ID,NORTHEASTASIAN,MEDITERRANIAN,SOUTHAFRICA,SOUTHWESTASIAN,NATIVEAMERICAN,OCEANIAN,SOUTHEASTASIA,NORTHERNEUROPEAN,SUBSAHARANAFRICA,GROUP_ID
GRC12081994,0,0.075,0,0.5767,0.0065,0.0023,0.313,0.0264,0,Majhbi
GRC12084550,0.1298,0.0341,0.0537,0,0,0,0.1712,0,0.6111,Manakara_Madagascar
GRC12084547,0.1432,0,0.04,0,0,0.0123,0.1773,0.0329,0.5943,Manakara_Madagascar
GRC12084548,0.1486,0.0014,0.0355,0,4.00E-04,0.0054,0.2056,0.0155,0.5875,Manakara_Madagascar
GRC12084549,0.1229,0,0.0498,0,0,0.0015,0.1753,0.0114,0.6391,Manakara_Madagascar
GRC12081947,0.4864,0,0,0.1701,0.0075,0,0.3234,0.0121,5.00E-04,Meitei
GRC12081967,0.4402,0.0155,0,0.179,0,0,0.3542,0.0111,0,Meitei
GRC12081943,0,0.0812,0,0.6234,0,0.0186,0.263,0.0137,0,Mogaveera
GRC12076318,0.6281,0.0206,3.00E-04,0.1278,0.053,0,0.0975,0.0726,0,Mongols
GRC12076235,0.7055,0,0,0.0949,0.0278,0.0015,0.1143,0.0561,0,Mongols
GRC12076271,0.6919,0.013,0,0.1021,0.0284,0,0.0973,0.0673,0,Mongols
GRC12076283,0.683,0.0067,0,0.102,0.0336,0,0.1248,0.0499,0,Mongols
GRC12076259,0.7166,0,0,0.1322,0.0278,0.0168,0.0641,0.0424,0,Mongols
GRC12076270,0.6894,0,0,0.1184,0.0438,0.0216,0.0712,0.0557,0,Mongols
GRC12076294,0.6766,0.0107,0,0.1211,0.0546,0.0066,0.0797,0.0507,0,Mongols
GRC12076295,0.6877,0.0016,0,0.1249,0.034,0.0032,0.0883,0.0603,0,Mongols
GRC12076307,0.6839,0.0205,0.0037,0.1281,0.037,0,0.087,0.0398,0,Mongols
GRC12076234,0.6682,0,0,0.1111,0.0371,0.0161,0.0939,0.0736,0,Mongols
GRC12076246,0.6607,0,0,0.1037,0.0316,0.0047,0.124,0.0753,0,Mongols
GRC12084600,0.0502,0,0,0,0.9498,0,0,0,0,Morelos_Mexico
GRC12084602,0.0487,0,0,0,0.9512,0,0,0,0,Morelos_Mexico
GRC12084599,0.0369,0,0,0,0.963,0,0,0,0,Morelos_Mexico
GRC12084601,0.0264,0,0,0,0.9736,0,0,0,0,Morelos_Mexico
GRC12081960,0.0183,0,9.00E-04,0.381,0,0.0185,0.5812,0,0,Munda
GRC12081936,0,0.0375,0,0.5937,0,0,0.3479,0.0208,0,Nadar_Cape
GRC12081978,0.6033,0,0,0.0248,0.0053,0.0066,0.3599,0,0,Naga
GRC12083608,0,0,0,0,0,0.8613,0.1386,0,0,Nasioi_Bougainville
GRC12083609,0,0,0,0,0,0.8324,0.1675,0,0,Nasioi_Bougainville
GRC12083610,0,0,0,0,0,0.8387,0.1612,0,0,Nasioi_Bougainville
GRC12083611,0.006,0,0,0,0,0.8352,0.1588,0,0,Nasioi_Bougainville
GRC12083612,0,0,0,0,0,0.8465,0.1534,0,0,Nasioi_Bougainville
GRC12083613,0,0,0,0,0,0.9223,0.0776,0,0,Nasioi_Bougainville
GRC12083614,0,0,0,0,0,0.9225,0.0774,0,0,Nasioi_Bougainville
GRC12083615,0.0065,0,0,0,0,0.8373,0.1561,0,0,Nasioi_Bougainville
GRC12083616,0,0,0,0,0,0.9338,0.0661,0,0,Nasioi_Bougainville
GRC12083617,0,0,0,0,0,0.8519,0.148,0,0,Nasioi_Bougainville
GRC12081971,0,0.071,0,0.6177,0,0.0054,0.3059,0,0,Nattukottai_Chettiar
GRC12083626,0.2237,0,0,0,0,0.5739,0.2023,0,0,Papua_New_Guinea_coastal
GRC12083627,0.2517,0,0,0,0,0.5305,0.2177,0,0,Papua_New_Guinea_coastal
GRC12083618,0,0,0,0,0,0.9999,0,0,0,Papua_New_Guinea_coastal
GRC12083619,0,0,0,0,0,0.9999,0,0,0,Papua_New_Guinea_coastal
GRC12083621,0.0479,0,0,0,0,0.8996,0.0524,0,0,Papua_New_Guinea_coastal
GRC12083622,0.0169,0,0,0,0,0.9831,0,0,0,Papua_New_Guinea_coastal
GRC12083624,0,0,0,0,0,0.9999,0,0,0,Papua_New_Guinea_coastal
GRC12083625,0.038,0,0,0,0,0.9619,0,0,0,Papua_New_Guinea_coastal
GRC12083628,0,0,0,0,0,0.9999,0,0,0,Papua_New_Guinea_highland
GRC12083629,0,0,0,0,0,0.9999,0,0,0,Papua_New_Guinea_highland
GRC12083630,0,0,0,0,0,0.9999,0,0,0,Papua_New_Guinea_highland
GRC12083631,0,0,0,0,0,0.9999,0,0,0,Papua_New_Guinea_highland
GRC12083633,0,0,0,0,0,0.9943,0.0056,0,0,Papua_New_Guinea_highland
GRC12083635,0.1132,0,0,0,0,0.8441,0.0426,0,0,Papua_New_Guinea_highland
GRC12083637,0.1131,0,0,0,0,0.7846,0.1022,0,0,Papua_New_Guinea_highland
GRC12083638,0.057,0,0,0,0,0.8936,0.0493,0,0,Papua_New_Guinea_highland
GRC12083632,0,0,0,0,0.9999,0,0,0,0,Papua_New_Guinea_highland
GRC12081939,0,0.0096,0,0.583,0,0,0.4074,0,0,Parayar
GRC12081973,0,0.0256,9.00E-04,0.5934,0,0.0096,0.3704,0,0,Parayar
GRC12081995,0.0581,0.4049,0.003,0.436,0,0.0083,0.036,0.0511,0.0027,Parsee
GRC11075052,8.00E-04,0.0206,0,0,0.9284,0,0,0.0502,0,Peru
GRC11075059,0,0.0167,0,0.0102,0.9541,0,0.0024,0.0167,0,Peru
GRC11075050,0.0311,0.2611,0,0.0782,0.4277,0,0.0021,0.1801,0.0198,Peru
GRC11075053,0.0092,0.2444,0.0022,0.0693,0.4227,0,0.0125,0.1782,0.0615,Peru
GRC11075055,0,0.1046,0.019,0.035,0.6799,0.0085,0.0054,0.0726,0.075,Peru
GRC11075057,0.0038,0.0986,0,0.015,0.8313,0,0.0083,0.0318,0.0112,Peru
GRC11075058,0.0023,0.1535,0,0.0319,0.7553,0,0.004,0.0531,0,Peru
GRC11075060,0,0.1268,0,0.02,0.7233,0.001,0.0296,0.0988,5.00E-04,Peru
GRC11075049,0.0404,0.1823,0.0055,0.0396,0.638,0,4.00E-04,0.0919,0.0019,Peru
GRC11075051,0.0199,0.1829,0,0.0544,0.626,0.0039,0.0022,0.1107,0,Peru
GRC11075054,0.0014,0.2214,0,0.0435,0.5736,0,0.0209,0.1341,0.005,Peru
GRC11075056,0.0023,0.2042,0.0106,0.0333,0.5459,0,0.0067,0.084,0.1131,Peru
GRC12084607,0,0.224,0.0342,0.0813,0.1685,0.0069,0.0027,0.1331,0.3493,Puerto_Rico
GRC12084608,0,0.2287,0.042,0.056,0.091,0.0037,0.0191,0.1401,0.4194,Puerto_Rico
GRC12084610,0,0.1973,0.0374,0.0495,0.0882,0.0056,0.0126,0.1586,0.4507,Puerto_Rico
GRC12084614,0,0.2819,0.0232,0.0507,0.1096,0.0075,0.0089,0.1555,0.3627,Puerto_Rico
GRC12084606,0.0029,0.0815,0.0399,0.0405,0.0849,0.0022,0.0091,0.073,0.6661,Puerto_Rico
GRC12084603,0.0344,0.3872,0.01,0.118,0.0921,0.0021,0.0018,0.2512,0.1032,Puerto_Rico
GRC12084604,0.0218,0.3863,0.005,0.1147,0.1212,0,0,0.2457,0.1052,Puerto_Rico
GRC12084609,0,0.3892,0.0092,0.1087,0.1202,0.0056,0.0127,0.2514,0.103,Puerto_Rico
GRC12084611,0.0138,0.45,0.0071,0.1329,0.0726,0.0018,0.0134,0.2565,0.0519,Puerto_Rico
GRC12084612,0,0.4183,0.001,0.1209,0.0829,0.0085,0.0167,0.2865,0.0652,Puerto_Rico
GRC12084615,0,0.3654,0.0123,0.1085,0.1172,0,0.0214,0.2451,0.1301,Puerto_Rico
GRC12084605,0,0.3274,0.0077,0.1082,0.1363,0.0077,0.0169,0.2132,0.1826,Puerto_Rico
GRC12084613,0.0048,0.3346,0.0262,0.0829,0.1368,0.0137,8.00E-04,0.1973,0.2027,Puerto_Rico
GRC12084616,0,0.3094,0.0167,0.0944,0.1215,0,0.0246,0.1729,0.2605,Puerto_Rico
GRC12084617,0,0.3353,0.0179,0.067,0.0966,0,0.0239,0.2059,0.2534,Puerto_Rico
GRC12081945,0,0,0,0.5318,0,0.0023,0.4659,0,0,Pulayar
GRC12081976,0,0,0,0.5294,0,0.0126,0.458,0,0,Pulayar
GRC12081927,0.0021,0.074,0.0064,0.0081,0.8492,0,0.0047,0.0555,0,QUECHUA
GRC12081928,2.00E-04,0.0615,1.00E-04,0.0181,0.8481,0,0.0279,0.0422,0.002,QUECHUA
GRC12081930,0.0087,0.0698,0,0.0197,0.8313,0,0.0049,0.0657,0,QUECHUA
GRC12081931,0.0177,0.1272,0,0.0337,0.7421,0.012,0,0.0674,0,QUECHUA
GRC12081926,0.0073,0.0293,0,0,0.953,0,0,0.0104,0,QUECHUA
GRC12081929,0,0.0095,0,0.0099,0.9668,0,0,0.0137,0,QUECHUA
GRC12081998,0,0,0,0,0.9999,0,0,0,0,QUECHUA
GRC12084618,0.0393,0.001,0,0.0264,0.8795,0,0.0127,0.0411,0,Queretaro_Mexico
GRC12081933,0.2848,0.0214,0,0.3648,0.0069,0.0087,0.2512,0.0623,0,Rajput_Kinnura
GRC12081941,0.0226,0.1678,0,0.59,0.001,0.009,0.1394,0.0703,0,Rajput_Rajasthan
GRC12084536,0,0,0.1877,0,0,0,0,0,0.8122,Reichenau_Mission_Underberg_KZN_RSA
GRC12081986,0,2.00E-04,0,0.5534,0,0,0.4415,0.0048,0,Relli
GRC000868,0.0243,0.4375,0,0.1809,8.00E-04,0.0056,0.0081,0.3428,0,Romania
GRC001050,0.0145,0.4408,0,0.1905,0.0108,0,0.0014,0.342,0,Romania
GRC002130,0.0384,0.43,0,0.1854,0.0079,0,0,0.3383,0,Romania
GRC10034898,0.0189,0.4304,0,0.191,0,0.02,0,0.3396,0,Romania
GRC10038272,0.0203,0.4562,0,0.195,0,0,0.0051,0.3232,0,Romania
GRC11073453,0.0182,0.4499,0,0.1943,0,0,0,0.3376,0,Romania
GRC017591,0.0173,0.4818,0,0.2018,0.0072,0,0,0.2919,0,Romania
GRC025491,0.0185,0.4715,0,0.2014,0,0,3.00E-04,0.3082,0,Romania
GRC10042263,0.0102,0.47,0,0.2122,0.0043,0,0,0.3011,0.0021,Romania
GRC11054201,0.0347,0.3964,0,0.1866,0,0.0072,0.0025,0.3726,0,Romania
GRC11059201,0.0243,0.3747,0,0.2046,0.0059,0.0055,0,0.385,0,Romania
GRC031808,0.0229,0.4044,0,0.1991,0.0031,0.0061,0,0.3644,0,Romania
GRC10043989,0.0178,0.4208,0,0.1985,0.0024,0.0064,0.0036,0.3505,0,Romania
GRC11049359,0.0193,0.4246,0,0.2025,0,0,0.0019,0.3516,0,Romania
GRC11054968,0.0327,0.4038,0,0.2076,0,0.0065,0,0.3495,0,Romania
GRC12076237,0.0362,0.2631,0,0.1839,0.009,0,0,0.5077,0,Russians
GRC12076248,0.0255,0.281,0,0.1881,0,0.0033,0,0.5022,0,Russians
GRC12076261,0.0171,0.2721,0,0.1948,0.0038,0,0.0066,0.5056,0,Russians
GRC12076308,0.0251,0.2812,0,0.1781,0.0175,0.001,0,0.4971,0,Russians
GRC12076260,0.037,0.2424,0,0.1971,0.02,0.0063,0,0.4971,0,Russians
GRC12076272,0.0272,0.2363,2.00E-04,0.1964,0.0055,0.0129,0,0.5215,0,Russians
GRC12076297,0.0359,0.2464,0,0.1802,0.0129,0.0075,0.0047,0.5124,0,Russians
GRC12076309,0.0315,0.2446,0,0.1709,0,0,0.0166,0.5364,0,Russians
GRC12076320,0.0767,0.1952,5.00E-04,0.1913,0.0177,0.0166,0.007,0.495,0,Russians
GRC12076236,0.0441,0.2682,0,0.1929,0,0.008,0,0.4867,0,Russians
GRC12076249,0.0301,0.288,0,0.1774,0.0011,0.0154,0.0037,0.4842,0,Russians
GRC12076273,0.0462,0.2903,0,0.1848,0,0,0.0071,0.4715,0,Russians
GRC12076284,0.0532,0.2737,0,0.1828,0.0042,0.0024,0,0.4838,0,Russians
GRC12076285,0.0474,0.2687,0,0.1768,0.0062,0.0069,5.00E-04,0.4934,0,Russians
GRC12076296,0.0575,0.2674,0,0.1753,0.0074,0.0025,0,0.4898,0,Russians
GRC12076321,0.0396,0.2918,0,0.1909,0.0088,8.00E-04,0,0.4681,0,Russians
GRC11074456,0,0.6739,9.00E-04,0.0755,0,0,0.0122,0.2374,0,Sardinian
GRC11074457,0,0.6771,0,0.0788,0,0,0.0071,0.2369,0,Sardinian
GRC11074458,0,0.6669,0,0.1003,0,0,0.0112,0.2189,0.0027,Sardinian
GRC11074464,0,0.6723,0.0055,0.0823,0,0.0013,0,0.2385,0,Sardinian
GRC11074454,0,0.6821,0,0.0774,0,0.0048,0.0182,0.2174,0,Sardinian
GRC11074460,0,0.6881,0,0.0681,0,0.0029,0.0111,0.2297,0,Sardinian
GRC11074466,0,0.7007,0,0.0602,0,0,0.0123,0.2267,0,Sardinian
GRC11074467,0,0.6994,0,0.0688,0,0,0.0136,0.2181,0,Sardinian
GRC11074453,0,0.6852,0,0.1009,0,0.0041,0.01,0.1998,0,Sardinian
GRC11074455,0,0.7064,0.0021,0.0766,0,0.0051,0.0066,0.2024,7.00E-04,Sardinian
GRC11074463,0,0.7056,8.00E-04,0.0939,0,8.00E-04,0.0131,0.1859,0,Sardinian
GRC11074459,0,0.6357,0.0026,0.0819,0,0,0.0178,0.2619,0,Sardinian
GRC11074461,0,0.651,0.0012,0.0888,0,0,0.0144,0.2406,0.004,Sardinian
GRC11074462,0,0.6589,0.0022,0.0663,0,0,0.0164,0.2505,0.0057,Sardinian
GRC11074465,0,0.6289,0,0.086,0,0,0.027,0.2536,0.0044,Sardinian
GRC12081980,0,0.0139,0,0.6088,0,0.0185,0.3588,0,0,Sattibalija
GRC12084514,0,0,0.7628,0,0,0,0,0,0.2371,Schmidtsdrift_Northern_Cape_RSA
GRC12084516,0,0,0.7582,0,0,0,0,0,0.2417,Schmidtsdrift_Northern_Cape_RSA
GRC12084517,0,0,0.7622,0,0,0,0,0,0.2378,Schmidtsdrift_Northern_Cape_RSA
GRC12084518,0,0,0.9332,0,0,0,0,0,0.0668,Schmidtsdrift_Northern_Cape_RSA
GRC12084565,0,0.0314,0.4359,0,0,0.0044,0,0,0.5283,Southeastern_Namibia
GRC12084566,0,0.0371,0.4769,0,0,0.0062,0.0049,0,0.4748,Southeastern_Namibia
GRC12084567,0,0,0.9999,0,0,0,0,0,0,Southeastern_Namibia
GRC12084568,0,0.0795,0.8799,0.0034,0,0,0,0,0.0372,Southeastern_Namibia
GRC12084569,0,0.097,0.8937,0,0,0.0031,0,0,0.0061,Southeastern_Namibia
GRC12076286,0.0951,0.249,0,0.4261,0.0073,0,0,0.2225,0,Tajikistan
GRC12076298,0.1039,0.2643,0,0.3971,0.008,0,0,0.2266,0,Tajikistan
GRC12076310,0.0751,0.2721,0,0.4131,0.0163,0,0,0.2234,0,Tajikistan
GRC12076322,0.0953,0.271,0,0.4194,0.0054,0,0,0.2088,0,Tajikistan
GRC12076250,0.0918,0.2452,0,0.4535,0.0301,0.0038,0.0051,0.1706,0,Tajikistan
GRC12076238,0.0953,0.2156,0,0.4407,0.0072,0.0053,2.00E-04,0.2357,0,Tajikistan
GRC12076262,0.1024,0.2142,0,0.4309,0.009,7.00E-04,0,0.2428,0,Tajikistan
GRC12076263,0.0995,0.1981,0,0.4329,0,0,0,0.2695,0,Tajikistan
GRC12076275,0.1007,0.2241,0,0.4258,0.0047,0.0021,0,0.2426,0,Tajikistan
GRC12076239,0.1254,0.2125,0.0036,0.448,0.024,0,0,0.1865,0,Tajikistan
GRC12076251,0.1372,0.2001,0,0.4513,0.0111,0.0035,0.004,0.1927,0,Tajikistan
GRC12076274,0.117,0.2125,5.00E-04,0.4477,0.0124,0.0073,0,0.2026,0,Tajikistan
GRC12076299,0.1178,0.2222,0,0.4336,0.0247,0,0.0011,0.2006,0,Tajikistan
GRC12076242,0.1496,0.1954,0,0.2216,0.0074,5.00E-04,0.0102,0.4154,0,Tatars
GRC12076302,0.1506,0.2028,0,0.2065,0.015,0.0126,0.0157,0.3968,0,Tatars
GRC12076315,0.115,0.2134,0,0.2006,0.0153,0.012,0.0188,0.4249,0,Tatars
GRC12076327,0.1239,0.233,0,0.2146,0.0039,0,0,0.4246,0,Tatars
GRC12076291,0.2037,0.1558,0,0.2008,0.0286,0,0,0.411,0,Tatars
GRC12076314,0.1849,0.1651,0,0.2335,0.022,0,0.0012,0.3931,0,Tatars
GRC12076255,0.1417,0.2572,0,0.2132,0.0149,0,0,0.373,0,Tatars
GRC12076267,0.1574,0.2324,0,0.1867,0.0048,0.0115,0.0152,0.3919,0,Tatars
GRC12076279,0.1369,0.243,0,0.2209,0.0067,0,0,0.3924,0,Tatars
GRC12076303,0.1417,0.2493,0,0.2102,2.00E-04,0,0,0.3986,0,Tatars
GRC12076243,0.1735,0.2074,0,0.2212,0,0,0,0.3978,0,Tatars
GRC12076254,0.1775,0.2142,0,0.2306,0.0101,0,0,0.3676,0,Tatars
GRC12076266,0.1777,0.2316,0,0.2159,0.0129,0,0.0046,0.3573,0,Tatars
GRC12076278,0.1752,0.2211,0,0.2127,0.0062,7.00E-04,0.0033,0.3808,0,Tatars
GRC12076290,0.1838,0.2127,0,0.2079,0.0254,0.0012,0.0212,0.3478,0,Tatars
GRC12081965,0.4186,0,0.0067,0.2543,0,0.0065,0.3139,0,0,Tharu
GRC12081968,0.371,0,0,0.2787,0,0.0142,0.3283,0.0078,0,Tharu
GRC12084564,0.1523,0.0048,0.0431,0.0044,1.00E-04,0.0021,0.1855,0.0177,0.5899,Toliara_Madagascar
GRC12084559,0.1339,0.023,0.0378,0,0,0,0.1899,0.0011,0.6142,Toliara_Madagascar
GRC12084562,0.135,0.0154,0.0405,0,0,0.0022,0.19,0.0017,0.6152,Toliara_Madagascar
GRC12084563,0.1351,0.0203,0.0482,0,0,0.0043,0.1658,0,0.6262,Toliara_Madagascar
GRC12084560,0.1317,0.012,0.0329,0,2.00E-04,0.0102,0.2132,0,0.5997,Toliara_Madagascar
GRC12084561,0.1785,0.0207,0.0149,0,0,0.0032,0.1877,0,0.595,Toliara_Madagascar
GRC12084521,0,0,0.9999,0,0,0,0,0,0,Tsumkwe_Namibia
GRC12084523,0,0,0.5782,0,0,0,0,0,0.4217,Tsumkwe_Namibia
GRC12076400,0,0.6325,0.0075,0.0722,0.0012,1.00E-04,0.0291,0.0781,0.1792,Tunisia
GRC12076408,0.0032,0.6322,0.0116,0.0756,4.00E-04,0.0014,0.024,0.0463,0.2053,Tunisia
GRC12076409,0,0.6482,0.0106,0.0725,0.0111,0.0046,0.0262,0.0361,0.1907,Tunisia
GRC12076411,0,0.6463,0,0.0875,0,0.0029,0.0122,0.0601,0.1909,Tunisia
GRC12076399,0,0.6002,0.0139,0.1042,0.0048,0.0024,0.0288,0.0327,0.213,Tunisia
GRC12076402,0.0074,0.6277,0.0035,0.1198,0,0,0.0106,0.0373,0.1937,Tunisia
GRC12076410,0,0.6248,0,0.1125,0.0059,0,0.0046,0.0404,0.2119,Tunisia
GRC12076412,0,0.6513,0.015,0.1241,4.00E-04,0,0.0062,0,0.2031,Tunisia
GRC12076403,0,0.5802,0.0097,0.1213,0,0.0068,0.0123,0.1075,0.1623,Tunisia
GRC12076405,0,0.5746,0.0093,0.1283,0.0081,0.0121,0,0.0931,0.1744,Tunisia
GRC12076401,5.00E-04,0.6142,0.0117,0.1463,0.0112,0.0102,0.0161,0.0289,0.1609,Tunisia
GRC12076406,0,0.6218,0,0.1303,0,0,0.0297,0.0608,0.1574,Tunisia
GRC11074475,0,0.3189,0,0.1537,0.0013,0.0087,0.0037,0.5136,0,UK
GRC11074480,0.0108,0.3169,0,0.1621,0,0,0,0.5101,0,UK
GRC11074479,0,0.3264,0,0.1921,0,0,0.0028,0.4787,0,UK
GRC11074481,0.0034,0.3279,0,0.1863,0.0069,0,0,0.4754,0,UK
GRC11074469,0,0.3669,0,0.1672,0.0067,0,0.0132,0.446,0,UK
GRC11074473,0,0.3483,0,0.1845,0.0035,0,0.0071,0.4565,0,UK
GRC11074474,0.0151,0.3472,0.0022,0.1774,8.00E-04,0,0.006,0.4513,0,UK
GRC11074476,0,0.3638,0,0.1697,0,0,0.0017,0.4647,0,UK
GRC11074468,0.008,0.3377,0,0.1664,0.0015,0.0012,0.0034,0.4818,0,UK
GRC11074470,0.0092,0.3391,0,0.1531,0.0026,0,0,0.496,0,UK
GRC11074471,0,0.3273,0,0.173,0.0018,0,0.0039,0.494,0,UK
GRC11074477,0,0.3282,0,0.167,0.0085,0,4.00E-04,0.4959,0,UK
GRC11074482,0.0075,0.3246,0,0.1597,0.0033,0,0.0121,0.4928,0,UK
GRC12084537,0,0,0.2343,0,0,0,0,0,0.7656,Underberg_KZN_RSA
GRC12084538,0,0,0.2103,0,0,0,0,0,0.7896,Underberg_KZN_RSA
GRC12081972,0,0.0289,0,0.6229,0,0,0.3481,0,0,Valayar
GRC12081974,0,0.0146,0,0.6167,0,0,0.3687,0,0,Valayar
GRC12083643,0.0534,0.0442,0,0.0166,0.0034,0.7162,0.0975,0.0687,0,Vanuatu
GRC12083644,0.052,0.0467,0,0.0259,0.0032,0.6934,0.1085,0.0704,0,Vanuatu
GRC12083650,0.0715,0,0,0,0,0.7282,0.2003,0,0,Vanuatu
GRC12083642,0.0372,0,0,0,0,0.8132,0.1496,0,0,Vanuatu
GRC12083645,0.0693,0,0,0,0,0.7997,0.131,0,0,Vanuatu
GRC12083646,0.032,0,0,0,0,0.8137,0.1542,0,0,Vanuatu
GRC12083647,0.0373,0,0,0,0,0.8096,0.1531,0,0,Vanuatu
GRC12083648,0.05,0,0,0,0.0019,0.8156,0.1324,0,0,Vanuatu
GRC12083649,0.0244,0,0,0,0,0.795,0.1805,0,0,Vanuatu
GRC12083651,0.0327,0,0,0,0,0.8036,0.1636,0,0,Vanuatu
GRC12076415,0.5721,0,0,0,0,0,0.4279,0,0,Vietnamese
GRC12076417,0.5698,0,0,0,0,0,0.4301,0,0,Vietnamese
GRC12076418,0.5668,0,0,0,0,0,0.4331,0,0,Vietnamese
GRC12076422,0.57,0,0,0,0,0,0.43,0,0,Vietnamese
GRC12076425,0.5642,0,0,0,0,0,0.4357,0,0,Vietnamese
GRC12076416,0.5592,0,0,0,0,0,0.4407,0,0,Vietnamese
GRC12076419,0.5598,0,0,0,0,0,0.4401,0,0,Vietnamese
GRC12076421,0.5605,0,0,0,0,0,0.4394,0,0,Vietnamese
GRC12076423,0.5531,0,0,0,0,0,0.4469,0,0,Vietnamese
GRC12076424,0.5565,0,0,0,0,0,0.4435,0,0,Vietnamese
GRC12076420,0.5794,0,0,0,0,0,0.4205,0,0,Vietnamese
GRC12076426,0.5828,0,0,0,0,0,0.4171,0,0,Vietnamese
GRC12084527,0,0,0.848,0,0,0,0,0,0.1519,Witdraai_Northern_Cape_RSA
GRC11075063,0,0,0.0235,0,0,0,0,0,0.9765,Yoruba
GRC11075068,0,0,0.0229,0,0,0,0,0,0.977,Yoruba
GRC11075070,0,0,0.0216,0,0,0,0,0,0.9783,Yoruba
GRC11075061,0,0,0.026,0,0,0,0,0,0.9739,Yoruba
GRC11075065,0,0,0.0293,0,0,0,0,0,0.9706,Yoruba
GRC11075067,0,0,0.0278,0,0,0,0,0,0.9722,Yoruba
GRC11075069,0,0,0.0263,0,0,0,0,0,0.9736,Yoruba
GRC11075066,0,0,0.0338,0,0,0,0,0,0.9662,Yoruba
GRC11075072,0,0,0.0407,0,0,0,0,0,0.9593,Yoruba
GRC11075062,0,0,0.017,0,0,0,0,0,0.983,Yoruba
GRC11075064,0,0,0.0154,0,0,0,0,0,0.9845,Yoruba
GRC11075071,0,0,0.0118,0,0,0,0,0,0.9881,Yoruba
