SAMPLE_ID,NORTHEASTASIAN,MEDITERRANIAN,SOUTHAFRICA,SOUTHWESTASIAN,NATIVEAMERICAN,OCEANIAN,SOUTHEASTASIA,NORTHERNEUROPEAN,SUBSAHARANAFRICA,GROUP_ID
GRC11075035,0.0681,0.1664,0,0.1791,0.0151,0,0.0075,0.5637,0,Finnish
GRC11075027,0.063,0.1996,0,0.165,0.0136,0.0023,0.0023,0.5541,0,Finnish
GRC11075028,0.0692,0.1803,0,0.1616,0.0113,0.0025,0.0162,0.5589,0,Finnish
GRC11075036,0.0687,0.1908,0,0.1536,0.0161,0,0.0042,0.5666,0,Finnish
GRC11075026,0.0602,0.2128,0,0.1934,0.0025,0,0.0044,0.5267,0,Finnish
GRC11075029,0.0693,0.2135,4.00E-04,0.169,0.0071,0.0039,0,0.5368,0,Finnish
GRC11075030,0.0743,0.1961,0,0.1681,0.0105,0.0043,0.012,0.5348,0,Finnish
GRC11075034,0.0736,0.1828,0,0.1846,0.0134,0.0048,0.0042,0.5366,0,Finnish
GRC12076240,0.005,0.5941,0,0.3113,0,0,0,0.0895,0,Georgian
GRC12076252,0,0.6158,0,0.331,0,0,0,0.0532,0,Georgian
GRC12076264,0.0023,0.6328,0,0.3086,0,0,0,0.0562,0,Georgian
GRC12076276,0.0221,0.6222,0,0.2992,0,0,0,0.0564,0,Georgian
GRC11074516,5.00E-04,0.2845,0,0.1705,0,0,0.0043,0.5401,0,German
GRC11074527,0.0141,0.238,0,0.176,0,0.0054,0.0095,0.5571,0,German
GRC11074513,0,0.3249,0,0.174,0.0016,0,0.0097,0.4898,0,German
GRC11074518,0,0.3303,0,0.1782,0,0,0,0.4915,0,German
GRC11074514,0.008,0.3568,0,0.1565,0.0137,0.0042,0.0074,0.4532,0,German
GRC11074515,7.00E-04,0.3941,0,0.1615,0,0.0181,0.0026,0.4229,0,German
GRC11074517,0.0015,0.3976,0,0.1738,0.0087,0.0041,0,0.4141,0,German
GRC11074519,0.0082,0.3753,0,0.1699,0,0.0042,0.006,0.4363,0,German
GRC11074520,0,0.3872,0,0.1666,0.0073,0,0.0096,0.4291,0,German
GRC11074521,0.0035,0.3999,0,0.181,0.0048,0.0046,0.0053,0.4008,0,German
GRC11074522,0,0.3666,0,0.1672,0.0064,0,0.0209,0.439,0,German
GRC11074523,0,0.3807,0,0.1715,0,0,0.012,0.4358,0,German
GRC11074524,0.011,0.3878,0,0.1688,0,0,0.0022,0.4302,0,German
GRC11074526,0.0078,0.4076,0,0.156,1.00E-04,0,0.0049,0.4234,0,German
GRC11074525,0.006,0.4492,0,0.1657,0,0,0.0057,0.3733,0,German
GRC12081944,0,0,0,0.4368,2.00E-04,0.0214,0.5416,0,0,Gond_Ori
GRC12081951,0,0,0.002,0.4088,0.0073,0.011,0.5707,0,0,Gond_Ori
