Iran_3,0.037525,0.5032875,6.25E-05,0.38215,0.000625,0.0030875,0.0012625,0.064675,0.007325
Iran_4,0.0467,0.32065,0.00365,0.50395,0.002025,0.00755,0.0328,0.076975,0.005675
Italian_1,0,0.53762,0.0016,0.1716,0.00096,0.0023,0.00456,0.2813,0
Italian_2,0.00795,0.5482,0,0.1975,0,0,0.00305,0.24325,0
Italian_3,0.001133333,0.548933333,0,0.171083333,0.002316667,0.000383333,0.013016667,0.2624,0.000666667
Italian_4,0.0012,0.58515,0,0.16915,0.00075,0.00015,0.0049,0.2387,0
Iyengar_Kar_0,0,0.0827,0,0.59945,0,0.0042,0.2479,0.06565,0
Japan_1,0.732333333,0,0,0,0.001166667,3.00E-04,0.266133333,0,0
Japan_2,0.745233333,0,0,0,0,0.000833333,0.253833333,0,0
Japan_4,0.7584,0,0,0,0,0.00225,0.23925,0,0
Johannesburg_Gauteng_RSA_0,0,0,0.1815,0,0,0,0,0,0.81845
Kaokoveld_Namibia_3,0,0,0.105166667,0,0,0,0,0,0.894766667
Kapu_0,0,0.03465,0.0037,0.6158,0,0,0.3423,0.00355,0
Kenya_1,0.00272,0.0114,0.0871,0.01342,0,0.00322,6.00E-05,0.00512,0.87696
Kenya_2,0,0.034,0.07782,0.00994,0,0.00332,0.00072,0.00018,0.87394
Kroonstad_Free_State_RSA_3,0,0.0077,0.295266667,0.0062,0,0.000466667,0.006233333,0.004066667,0.680033333
Kuwait_1,0.000633333,0.703433333,0.007533333,0.198933333,0.006566667,0.004933333,0.017666667,0,0.060233333
Kuwait_3,0.020166667,0.569666667,0.008677778,0.323577778,0.001433333,0.002122222,0.006177778,0.020911111,0.047255556
Kuwait_4,0.02388,0.49598,0.01926,0.25814,0.0045,0.00408,0.00784,0.00812,0.17816
Lebanon_1,0.009,0.645116667,0.003766667,0.2688,0.001766667,0.002766667,0.00065,0.055666667,0.012416667
Lebanon_2,0.002654545,0.7149,0.0058,0.2532,0.000881818,0.0046,0,0.014381818,0.003509091
Lebanon_3,0.019325,0.58515,0.00385,0.2681,0.00095,0.009025,0,0.0791,0.03445
Majhbi_0,0,0.07885,0,0.57515,0.00675,0.00115,0.31865,0.01935,0
Manakara_Madagascar_2,0.1459,7.00E-04,0.03775,0,2.00E-04,0.00885,0.19145,0.0242,0.5909
Meitei_0,0.4633,0.00775,0,0.17455,0.00375,0,0.3388,0.0116,0.00025
Mongols_2,0.693466667,0.006566667,0,0.099666667,0.029933333,5.00E-04,0.112133333,0.057766667,0
Mongols_3,0.69084,0.00656,0.00074,0.12494,0.03944,0.00964,0.07806,0.04978,0
Mongols_4,0.66445,0,0,0.1074,0.03435,0.0104,0.10895,0.07445,0
Morelos_Mexico_1,0.04945,0,0,0,0.9505,0,0,0,0
Nasioi_Bougainville_0,0.00125,0,0,0,0,0.86819,0.13047,0,0
Papua_New_Guinea_coastal_1,0.2377,0,0,0,0,0.5522,0.21,0,0
